num,class,explained,r2,train
767А,B1,0.7781414432181537,0.11041329392095434,767А-B1
767А,B2,0.8503017301593425,0.3879401927057853,767А-B2
767А,C1,0.8246569138997549,0.40828746133941496,767А-C1
767А,C2,0.9107239876458365,0.5282752650014242,767А-C2
768А,B1,0.7414100501553385,0.1825860590863595,768А-B1
768А,B2,0.7755526042892543,0.22567741183815493,768А-B2
768А,C1,0.7808732379377337,0.2993841754228518,768А-C1
768А,C2,0.8989567720159871,0.4657411317389505,768А-C2
769А,B1,0.7590566529763253,0.20642501203689512,769А-B1
769А,B2,0.8646437290616249,0.40494441986314345,769А-B2
769А,C1,0.8642661901762916,0.4670160317819483,769А-C1
769А,C2,0.9125220667607811,0.5723790337896546,769А-C2
770А,B1,0.7652936813938546,0.2135935495715342,770А-B1
770А,B2,0.7832083212166949,0.33751437348930735,770А-B2
770А,C1,0.7357911012384037,0.3320047578663633,770А-C1
770А,C2,0.8729227118512068,0.4836178624784966,770А-C2
772А,B1,0.7768671710946834,0.19354896583331904,772А-B1
772А,B2,0.8313007053395566,0.366215120396968,772А-B2
772А,C1,0.7972245830035098,0.38870261992338395,772А-C1
772А,C2,0.8972623540567527,0.5608649383924431,772А-C2
773А,B1,0.7240284379591904,0.12539609939808938,773А-B1
773А,B2,0.8729073657794634,0.4041716377436968,773А-B2
773А,C1,0.8594833531665427,0.48147779449188977,773А-C1
773А,C2,0.9159006331303182,0.6215446671982823,773А-C2
775А,B1,0.7827973868898489,0.1910693356819001,775А-B1
775А,B2,0.9042995069367384,0.552956878603837,775А-B2
775А,C1,0.8916483014150486,0.47486607504999545,775А-C1
775А,C2,0.9304699426986958,0.5769228662020287,775А-C2
776А,B1,0.8242771652530516,0.27160832261580925,776А-B1
776А,B2,0.8687055056358518,0.37895880903324997,776А-B2
776А,C1,0.8138403395731122,0.28456552419301273,776А-C1
776А,C2,0.9188179083412705,0.5344161318523997,776А-C2
777А,B1,0.7981874736977336,0.18918191334752887,777А-B1
777А,B2,0.8687410791426816,0.5273810791910429,777А-B2
777А,C1,0.8525586696112054,0.47852830497439036,777А-C1
777А,C2,0.9228928071469708,0.5274793681675872,777А-C2
778А,B1,0.7913232952987442,0.17142618380062413,778А-B1
778А,B2,0.8578689865877538,0.2614213161237663,778А-B2
778А,C1,0.7897979964571336,0.1689327113184752,778А-C1
778А,C2,0.9294977865404571,0.4588855352391381,778А-C2
779А,B1,0.8012046810995243,0.1875331833242544,779А-B1
779А,B2,0.8837607742726545,0.4428084352856838,779А-B2
779А,C1,0.8868202738570146,0.42209703916810404,779А-C1
779А,C2,0.9025350250547661,0.463356052148889,779А-C2
780А,B1,0.7248638868753353,0.17328970156937185,780А-B1
780А,B2,0.8163556691324755,0.2885407748736002,780А-B2
780А,C1,0.7741206098549033,0.29080052354019115,780А-C1
780А,C2,0.9201136773776207,0.4423532926530055,780А-C2
