num,class,explained,r2,train
759А,B1,0.6973760715087649,0.04848067661816691,759А-B1
759А,B2,0.8162576631711236,0.26547628527331824,759А-B2
759А,C1,0.7845331502064853,0.30290725878197045,759А-C1
759А,C2,0.7925552483278158,0.49225058690642276,759А-C2
760А,B1,0.745114079947078,0.12058590971071281,760А-B1
760А,B2,0.8564577688296617,0.4501822767651832,760А-B2
760А,C1,0.834157412593854,0.5347636403594609,760А-C1
760А,C2,0.9428505688620381,0.6199989168557845,760А-C2
765А,B1,0.8189215115272875,0.38120506255035624,765А-B1
765А,B2,0.8930801542093081,0.410088211769419,765А-B2
765А,C1,0.9067228728173722,0.5209983716958988,765А-C1
765А,C2,0.9334090466525241,0.5919495357239595,765А-C2
766А,B1,0.7825946168239425,0.42250417148961494,766А-B1
766А,B2,0.8866476900865303,0.3725151208771339,766А-B2
766А,C1,0.8668266632322782,0.3504415607188013,766А-C1
766А,C2,0.8433878449106365,0.5267618518121788,766А-C2
767А,B1,0.8275340347601886,0.14485082504753077,767А-B1
767А,B2,0.8783343999422625,0.40111176410258564,767А-B2
767А,C1,0.8437895141397691,0.43599326090288193,767А-C1
767А,C2,0.9123674824998675,0.5375537026477457,767А-C2
768А,B1,0.6923886888473222,0.17153725877378878,768А-B1
768А,B2,0.7764766761792189,0.26793324593557766,768А-B2
768А,C1,0.7546496071616886,0.2937856556714018,768А-C1
768А,C2,0.8988739169588846,0.5130783279386113,768А-C2
769А,B1,0.77950630630393,0.22911698351624854,769А-B1
769А,B2,0.8764528092827165,0.4258787092954055,769А-B2
769А,C1,0.8658200086386546,0.4766322037795915,769А-C1
769А,C2,0.9041044872254882,0.5971060620443169,769А-C2
770А,B1,0.6921797853345892,0.13822773623335394,770А-B1
770А,B2,0.775085185590993,0.36973311542794507,770А-B2
770А,C1,0.6831554708329745,0.3387668678174359,770А-C1
770А,C2,0.8774629572514867,0.5294162846271568,770А-C2
772А,B1,0.734725772595598,0.1777373035348936,772А-B1
772А,B2,0.8318045085050116,0.36348362488439967,772А-B2
772А,C1,0.8284020265369794,0.38533144817922405,772А-C1
772А,C2,0.9060128544112985,0.5394058251882501,772А-C2
773А,B1,0.7070824549179717,0.2063206326236976,773А-B1
773А,B2,0.8756486733871867,0.4142477152213374,773А-B2
773А,C1,0.8599074846418869,0.49710486284629984,773А-C1
773А,C2,0.9156547626299862,0.6232484576919743,773А-C2
775А,B1,0.8128417326762327,0.2353258224253102,775А-B1
775А,B2,0.8874564148470858,0.5644604290611557,775А-B2
775А,C1,0.8654102870353363,0.4401866816860174,775А-C1
775А,C2,0.9222214663255573,0.5892573861896822,775А-C2
776А,B1,0.8242276619147167,0.266568762152249,776А-B1
776А,B2,0.8446775091970501,0.451409212691559,776А-B2
776А,C1,0.7849070490115434,0.3174757984784259,776А-C1
776А,C2,0.8840432730208155,0.5512129715616425,776А-C2
777А,B1,0.7179387760925058,0.20615204674892307,777А-B1
777А,B2,0.8627257326554075,0.5268565730368066,777А-B2
777А,C1,0.825513096240602,0.48156465639834056,777А-C1
777А,C2,0.9088783180645195,0.5337212654857598,777А-C2
778А,B1,0.7216988263866704,0.16984265810633536,778А-B1
778А,B2,0.8109664157521022,0.3402570231868979,778А-B2
