train,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
767А-C1,-0.0014962167186562,0.7528856001506465,0.2621782744989163,0.5142510111267945,-0.3126639404646844,0.4107358066545077,-2.176977014563062
767А-C2,-0.2465230096970667,0.6588784221965046,0.8953705788233861,0.6594779831981729,-0.30323604918336,-0.1877359018365332,-2.1552657460324123
769А-B1,0.4394163872291374,0.3181121820031932,0.5039794428780631,0.4312017211519825,-0.4825506033485662,0.2509133058199055,-1.83574459032624
769А-B2,-0.0301914925077334,0.6529086755188284,1.0195968996108096,0.5475891842898275,-0.4857881365625693,-0.4719112269952916,-1.8949204892596436
769А-C1,-0.0588878085424131,0.6579067020012748,0.5201550004209113,0.4608222530394832,-0.1294588677615366,0.3686998682242763,-2.155172996147284
769А-C2,-0.1097412322187758,0.7581012994980003,0.8345396003880186,0.532178984297135,-0.3802597197108018,-0.1041921703964213,-2.211146141259885
773А-B1,-0.0371024700444669,0.5071125004649788,0.172600477086194,-0.1561845951099144,-0.6100760176839334,0.8210851304477433,-1.743021379766681
773А-B2,-0.2351962142038297,0.4588148139792799,0.6163098175099351,0.4816920538054199,-0.7431035687238482,-0.0810106710283659,-2.1987256633198027
773А-C1,0.0184736990170066,0.395005129495449,0.7449703256217746,0.2437324185683215,-0.5735367996818259,0.6080478975236491,-1.9155966850905877
773А-C2,-0.1067220870263879,0.5213388591905392,0.6873014700134542,0.528743296360121,-0.6740427298421385,-0.0236843825563634,-2.454623584627446
775А-B1,0.3571906259341654,0.4779220591539781,0.2220913625884411,0.2706999826018397,0.0513381566478332,0.6254896313920342,-2.007307999840794
775А-B2,0.3310972955480288,0.541835377015555,0.7440495263362037,0.4755592448484475,-0.4255495377673423,0.3015938840320539,-2.111461890385362
775А-C1,0.4938079724973044,0.447294514149414,0.448937201583102,0.3093209389889397,-0.1291563203568638,0.6161936242985572,-2.163398018659595
775А-C2,0.1485642828980447,0.5652184423187885,0.625703466699227,0.5050536757823869,-0.3392859065902914,0.2409361766681962,-2.41523330700074
777А-B1,0.5088585982758622,0.567453749826429,0.1929003345253011,-0.0745482839436249,0.0659530947500289,0.59410045331611,-2.09909525712956
777А-B2,0.4879599245944849,0.6641405757053052,0.5813733772879223,0.4626416894224168,-0.3963912400846653,0.1603044687669308,-2.0806076272730945
777А-C1,0.303381824130959,0.5378536970453462,0.4255808376681911,0.3699349226407869,0.0406212845815392,0.1802673511313086,-1.9556612467037329
777А-C2,0.1472010590411996,0.5458370268022081,0.6732419370115978,0.5719908247598543,-0.2314240238759483,0.2144342894392073,-2.313826122802109
779А-B1,0.5772990727355488,0.2932807797894175,-0.0136430303060645,0.206254861090671,0.153578721767242,0.3966653732067867,-1.5392944762061005
779А-B2,0.5632397787490669,0.3593816196804057,0.2523536721653848,0.4577081872854275,-0.121014180972808,0.0432530046647221,-2.34046570787442
779А-C1,0.6003346910625265,0.5830684396373156,0.285130032105561,0.2941946175911525,-0.0276403484085612,0.3462729192973375,-2.1424232291580063
779А-C2,0.1467079177590962,0.5735233788317051,0.5729304899933308,0.5320990766356959,-0.2834435102364779,-0.138292762313939,-2.755635036969946
701Н-СВ,-0.8575061027710901,-0.4998151330784708,-0.2307202694299179,-0.0315241182275512,0.4309947999037836,0.2235494810928884,1.0154957592351257
701Н-Сидячий,-0.6010418665259414,0.3050940494151477,0.4495060315021019,0.3026840448897039,0.3490542669600456,-0.8542077522504212,-0.0349332274258886
702Н-СВ,-0.8126572691280314,-0.8723642027687125,0.4045096458862191,-0.4360966776442943,0.1553057305401329,0.1528604975989885,1.587706893572842
751А-B1,-1.0809526120258326,-0.1312676901507035,-0.1402804364065019,-0.6383707130020064,0.6533173784424834,0.5734469301430658,0.853945418587217
751А-B2,-1.5508710363734228,-0.1565641484652872,-0.3125417767130937,0.1122297131799519,0.7648625759250014,0.4051461107764681,0.7800093455156817
751А-C1,-0.6853908559677325,-0.8131274575897572,-0.1791469847953561,-0.133029453369667,0.3515530586792977,0.7487527859471416,0.8206416229166495
751А-C2,-1.740156824835427,0.226983141711604,0.4215841745627171,0.7060924182278949,0.7154536418068501,-0.442627180623798,0.3060213874652078
752А-B1,-0.8105353099408903,-0.1693979092105492,0.423205047390828,-0.3584416521761261,-0.418921309417861,0.7034464019528806,0.856020772610732
753А-B1,-0.404367191765091,-0.5651765229805059,0.2348684045092138,-0.2185675906699515,0.3418724197834673,0.0949524713584782,0.6259562907182669
753А-B2,-1.412022855731469,-0.2793022501579014,0.4455811727080204,0.221443544265533,0.4494350796082371,0.1940279073419493,0.3993128378045397
