train,0,1,2,3,4,5,6,7,8,9
705Н-Сидячий,0.9191921991009786,0.978053123681472,0.9874572177800718,0.991952316234259,0.995160232199715,0.9965580111029635,0.9976214719440789,0.9982089067345007,0.9987419601816742,0.9991313957632808
706Н-СВ,0.739659095128944,0.8712245935712997,0.9236132084366493,0.948039314882304,0.9656805542014637,0.9762995244984997,0.9830835047151419,0.988802632107624,0.992757416969778,0.9951065766558208
706Н-Сидячий,0.8863991243341952,0.9280404698590965,0.9590410530441373,0.972167198669015,0.9832199262778731,0.9892643763089913,0.9923066707783308,0.9944461530331926,0.9961623677169784,0.9975830824459881
707Н-СВ,0.7666899418760685,0.9160800074024807,0.9391102396911948,0.9562626962015675,0.9704972823474256,0.9793526843579113,0.9847626262455287,0.9894843039663597,0.993515105220206,0.9966568276122533
707Н-Сидячий,0.9135768030143981,0.9800120844336581,0.9887824593128441,0.9919854303699949,0.9945256783448906,0.9963010572441422,0.9978802724118744,0.9986236440194276,0.9990409823067553,0.9993105293128387
708Н-СВ,0.623968238904011,0.8602451335344992,0.9037095172189482,0.930524459122535,0.9483198388254174,0.9638491095544358,0.9775453024777351,0.9839288152463173,0.9888502520076349,0.9926984373505383
708Н-Сидячий,0.8971962694427367,0.9474548145911245,0.9722945731107172,0.982514484467913,0.988396012071789,0.9922970225343801,0.994719409351037,0.9963337166645101,0.9975014577792731,0.9982891645105485
709Н-СВ,0.8172120190318906,0.8750565476467344,0.9268876417433071,0.9510835401904318,0.9730207498924766,0.9839892627470377,0.9898855663890453,0.9939440829998639,0.9961857597001478,0.9979196342938988
709Н-Сидячий,0.950938799124804,0.9797173551461547,0.9908426323098699,0.9946175101817707,0.9966716593406258,0.9978591082423803,0.9987441598922857,0.9991469435832517,0.9994481330662573,0.9996267484874946
710Н-СВ,0.8025865534416823,0.9031183620411851,0.9397276497449114,0.9567079170607065,0.9699514639771477,0.9799214566815553,0.9860268829024816,0.9907176184343275,0.993852999664683,0.9959134610979747
710Н-Сидячий,0.8940166973117112,0.9669104391393756,0.97878320346147,0.9875101313431183,0.9913407772150253,0.9941005120618251,0.99621917918084,0.9972297615691877,0.998161396345274,0.9988341697101178
751А-B1,0.787212082556072,0.8872639729165818,0.9309996180790743,0.9555069307672938,0.9688908023421217,0.9802527571330241,0.9857113391302373,0.9900909454726925,0.9930847868703091,0.9952829871236426
751А-B2,0.7697651336742966,0.904760558767726,0.9510080998095664,0.9657875582629556,0.9773378240475371,0.9837529277542157,0.9889400424536071,0.9921856048713382,0.9940362639721352,0.9956178756693401
751А-C1,0.6145605425584448,0.8086076647194492,0.889179614219988,0.945363858245774,0.9653785911382143,0.978814686039592,0.986389096849542,0.9929616841407708,0.9960685552589837,0.9977669213611795
751А-C2,0.8388182295873698,0.9442066290174614,0.9660740596470431,0.9817520830318041,0.9887769422855751,0.991621382230663,0.9942270021149995,0.9964066890877209,0.9976409209662651,0.9984421145941221
752А-B1,0.7726330791191605,0.8709843445590592,0.9233799923562368,0.9503688284004143,0.9681902875497155,0.976361800363089,0.9832952267931345,0.9884503982240095,0.9926948150549918,0.995337025325354
752А-B2,0.6913762632461805,0.8513036918543077,0.9221252080046678,0.9440093943644062,0.9619079272062763,0.9711420689546753,0.9781861334417692,0.9843936336563031,0.9894509808439959,0.9925195381659087
752А-C1,0.6164812110645261,0.796969227437639,0.9121162454676994,0.9384719533649009,0.9631953310722448,0.9786539070588196,0.9855011260713666,0.9917898723454802,0.9943078009548657,0.9962483438023798
752А-C2,0.8755103927458727,0.9539516191156042,0.9751213191013387,0.9844581595673941,0.989909700499597,0.9931502628955512,0.9954037191231601,0.99668535732241,0.9976582071338066,0.9985430815438409
753А-B1,0.708276510747421,0.8233100632601341,0.9106442341220341,0.9443277833502536,0.9636738709350031,0.975053988810731,0.9832817257467437,0.9891150414404961,0.9932920701816966,0.9958264163267918
