train,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
754А-B1,-0.11869958654324358,0.09285848595026477,-0.34280389350847995,-0.6148968335593786,-0.30341116472764845,0.3514629898768201,0.8631011535819021
754А-B2,0.08226379145270167,0.3813959382698101,0.367568597909488,-0.22576697689535175,-0.8935332579134236,-0.7044322217499709,0.7758714081597002
754А-C1,0.1583961203594033,-0.3462742698061005,0.21349068414809735,-0.5285435488532321,-0.6734426348738016,0.21340349539424816,0.8741069120517158
754А-C2,0.22284536022115262,0.5309672998617708,0.660117030533482,-0.11284996249095683,-1.0583149726236196,-0.7687578291528425,0.4879575131809597
755А-B1,-0.48776156795665093,-1.1540188676339098,-0.2260562911455635,0.1825511638139397,0.483957551013735,0.788060265878455,0.47323003870869024
755А-B2,-1.1071151985921213,0.18912706296510365,0.3192039805193787,0.347941896737032,0.42671630891382306,-0.19713423710767564,-0.08306437774764487
755А-C1,-0.9523769405096061,-0.7199613028615081,0.16542979719636117,0.1697036303957936,0.3754005374778149,0.4475246359904836,0.3740172353715915
755А-C2,-0.6316136837446097,0.9124712508066807,0.7155882485218128,0.6912064448593742,0.09158485734370352,-1.0244371007308328,-0.6444627615607428
756А-B1,0.10148424038967646,0.3024089386752901,-0.14228190231485097,-0.5365698903459115,-0.9701001948448865,0.4406354804791673,0.8403228439334192
756А-B2,-0.025955946363113214,0.566649726697569,0.25776858189937985,-0.07275654869102877,-0.9927265855989623,-0.3321399287233891,0.6595918157557747
756А-C1,0.4021458090339565,-0.060252958272086404,0.012814429945744629,-0.3531573365522238,-1.19065377778865,0.5284937307993435,0.7122948990159315
756А-C2,0.07779769054568796,0.7831329424707799,0.7648146284867262,-0.3169738032389563,-1.0440381537725012,-0.7269186111145011,0.4262246260340192
759А-B1,0.03291711017141062,-0.3860744251798351,-0.1388223760718073,-0.23437509055722194,-0.10798137044913714,0.7003507709511407,0.17591447920737988
759А-B2,-1.1717793670464884,0.44104421458100584,0.874632783035175,0.6921298783287821,-0.1164812994157119,-0.33189458059364163,-0.5319465985411146
759А-C1,-0.43355928351590434,-0.06727335503706051,0.2920576866702231,0.3752757009549089,-0.3813096657236627,0.611394433914524,-0.4414690307685488
759А-C2,-0.7175057444124529,0.7726136279455292,1.0350830447146737,0.5678583901786329,-0.30343385184792004,-0.8387574374916142,-0.477250252275296
760А-B1,0.18301744351213828,0.056188670600256084,0.2784917838474716,-0.711548073944599,-0.8419803790461223,0.24665740718254958,0.7676673960836642
760А-B2,-0.3473281461525418,0.754194503897587,0.34538104895262434,-0.20359495888794274,-0.5904102858955522,-0.37635844716154915,0.23170208643688722
760А-C1,-0.021033795956053293,0.2725468750239141,0.05690576856875424,-0.5856929385975004,-1.042126848596398,0.5115236586939877,0.5261550661927649
760А-C2,-0.5117343102956954,0.7239857406939515,0.6582075762070984,-0.08264223106975704,-0.889886915543657,-0.5976266236945328,0.369107242155998
